Food_A,Food_B,Food_C,Type,Reason,Impact
Peanut Butter,Chicken,Quinoa,GOOD,Stable glucose,metabolic
Bajra,Almonds,Fish,GOOD,Stable glucose,metabolic
Rice,Peanut Butter,Apple,BAD,Heavy digestion + sugar spike,metabolic
Ghee,Jowar,Spinach,DEPENDS,Context based,neutral
Olive Oil,Quinoa,Tomato,DEPENDS,Context based,neutral
Dal,Fish,Carrot,DEPENDS,Context based,neutral
Potato,Dal,Ghee,GOOD,Stable glucose,metabolic
Peanut Butter,Potato,Quinoa,DEPENDS,Context based,neutral
Bajra,Rice,Almonds,DEPENDS,Context based,neutral
Fish,Orange,Bajra,GOOD,Stable glucose,metabolic
Curd,Tomato,Banana,DEPENDS,Context based,neutral
Potato,Milk,Jowar,DEPENDS,Context based,neutral
Banana,Paneer,Chickpeas,DEPENDS,Context based,neutral
Tomato,Tomato,Rice,DEPENDS,Context based,neutral
Peanut Butter,Sweet Potato,Rice,DEPENDS,Context based,neutral
Jowar,Milk,Apple,DEPENDS,Context based,neutral
Dal,Ragi,Quinoa,GOOD,Stable glucose,metabolic
Paneer,Carrot,Bajra,GOOD,Stable glucose,metabolic
Bajra,Egg,Fish,GOOD,Stable glucose,metabolic
Curd,Milk,Almonds,DEPENDS,Context based,neutral
Chickpeas,Egg,Egg,DEPENDS,Context based,neutral
Banana,Carrot,Dal,DEPENDS,Context based,neutral
Ragi,Ragi,Potato,DEPENDS,Context based,neutral
Chickpeas,Sweet Potato,Egg,GOOD,Stable glucose,metabolic
Jowar,Dal,Bajra,GOOD,Stable glucose,metabolic
Peanut Butter,Dal,Rice,GOOD,Stable glucose,metabolic
Tomato,Paneer,Bajra,GOOD,Stable glucose,metabolic
Broccoli,Curd,Tomato,DEPENDS,Context based,neutral
Spinach,Jowar,Almonds,DEPENDS,Context based,neutral
Tomato,Chickpeas,Carrot,DEPENDS,Context based,neutral
Curd,Curd,Carrot,DEPENDS,Context based,neutral
Ragi,Almonds,Tomato,DEPENDS,Context based,neutral
Ghee,Carrot,Chickpeas,GOOD,Vitamin A absorption,absorption
Milk,Quinoa,Milk,DEPENDS,Context based,neutral
Apple,Lemon,Rice,DEPENDS,Context based,neutral
Potato,Orange,Chicken,GOOD,Stable glucose,metabolic
Egg,Spinach,Dal,DEPENDS,Context based,neutral
Sweet Potato,Egg,Milk,GOOD,Stable glucose,metabolic
Milk,Brown Rice,Ragi,DEPENDS,Context based,neutral
Ghee,Ghee,Milk,DEPENDS,Context based,neutral
Olive Oil,Ghee,Apple,DEPENDS,Context based,neutral
Egg,Milk,Milk,DEPENDS,Context based,neutral
Milk,Sweet Potato,Chickpeas,GOOD,Stable glucose,metabolic
Egg,Broccoli,Broccoli,DEPENDS,Context based,neutral
Broccoli,Sweet Potato,Sweet Potato,DEPENDS,Context based,neutral
Orange,Apple,Lemon,DEPENDS,Context based,neutral
Orange,Banana,Broccoli,DEPENDS,Context based,neutral
Apple,Carrot,Almonds,GOOD,Vitamin A absorption,absorption
Dal,Carrot,Sweet Potato,GOOD,Stable glucose,metabolic
Rice,Banana,Chicken,GOOD,Stable glucose,metabolic
Quinoa,Ghee,Almonds,DEPENDS,Context based,neutral
Chicken,Curd,Jowar,GOOD,Stable glucose,metabolic
Almonds,Chicken,Apple,DEPENDS,Context based,neutral
Apple,Rice,Lemon,DEPENDS,Context based,neutral
Orange,Brown Rice,Rice,DEPENDS,Context based,neutral
Brown Rice,Carrot,Ragi,DEPENDS,Context based,neutral
Milk,Lemon,Apple,DEPENDS,Context based,neutral
Egg,Chickpeas,Almonds,DEPENDS,Context based,neutral
Potato,Paneer,Ghee,GOOD,Stable glucose,metabolic
Potato,Curd,Peanut Butter,DEPENDS,Context based,neutral
Egg,Almonds,Apple,DEPENDS,Context based,neutral
Rice,Milk,Quinoa,DEPENDS,Context based,neutral
Apple,Apple,Bajra,DEPENDS,Context based,neutral
Curd,Almonds,Orange,DEPENDS,Context based,neutral
Banana,Spinach,Almonds,DEPENDS,Context based,neutral
Ragi,Ghee,Ragi,DEPENDS,Context based,neutral
Fish,Olive Oil,Lemon,DEPENDS,Context based,neutral
Broccoli,Chicken,Olive Oil,DEPENDS,Context based,neutral
Banana,Fish,Ghee,DEPENDS,Context based,neutral
Chicken,Almonds,Apple,DEPENDS,Context based,neutral
Olive Oil,Carrot,Ghee,GOOD,Vitamin A absorption,absorption
Orange,Jowar,Potato,DEPENDS,Context based,neutral
Bajra,Brown Rice,Jowar,DEPENDS,Context based,neutral
Apple,Bajra,Ghee,BAD,Heavy digestion + sugar spike,metabolic
Jowar,Orange,Bajra,DEPENDS,Context based,neutral
Tomato,Quinoa,Lemon,DEPENDS,Context based,neutral
